case,op,cores,loops,samples,max_core_per_call_p50_us,max_core_per_call_p95_us,std_us,entry_spread_raw_unverified_p50_us,host_trace_p50_us,host_plain_p50_us,paired_host_delta_p50_us,payload_bytes_per_core,payload_over_slowest_core_GBps
copy_control_op4_c48_gap32,4,48,64,20,0.53859375,0.541296875,0.0019588042430268514,1.7,70.064,70.738,0.4795000000000016,7680,14.25935596170583
gather_48_p7_r1,2,48,64,20,0.03515625,0.03659375,0.0008677152110571757,1.69,37.6845,37.459999999999994,0.290499999999998,,
gather_shared_custom_mask,2,8,64,20,0.0603125,0.061390625000000004,0.0021081593719403683,0.34,36.1395,35.689,0.16499999999999915,,
copy_shape_op1_b1,1,48,64,20,0.144375,0.1446875,0.00020432338797846472,1.76,43.934,44.4945,-0.41499999999999915,512,3.5463203463203463
loop_check_op1_n1,1,8,1,20,0.19,0.23000000000000043,0.13341664064126335,0.32,34.354,33.6895,1.0245000000000033,8192,43.11578947368422
loop_check_op0_n8,0,8,8,20,0.015,0.0175,0.001243734296383276,0.34,33.444,33.71,0.030500000000001748,,
copy_control_op4_c1_gap32,4,1,64,20,0.25921875,0.27025000000000005,0.007878099588415982,0.0,48.974000000000004,48.649,-0.3904999999999994,7680,29.627486437613022
loop_check_op0_n256,0,8,256,20,0.01015625,0.01015625,1.734723475976807e-18,0.32,36.119,35.370000000000005,-0.015499999999999403,,
loop_check_op2_n8,2,8,8,20,0.045,0.045,0.0008926785535678546,0.32,33.574,33.345,0.4799999999999969,,
copy_shape_op4_b64,4,48,64,20,0.3640625,0.366890625,0.0010888282118865149,1.72,61.304,63.579,-1.2349999999999994,32768,90.00652360515022
copy_control_op1_c1_gap32,1,1,64,20,0.23125,0.238859375,0.0051245236059071905,0.0,47.123999999999995,46.879000000000005,0.9454999999999991,7680,33.210810810810806
gather_48_p7_r16,2,48,64,20,0.059062500000000004,0.059703125,0.0013386531244127442,1.6600000000000001,38.959,38.5595,0.6549999999999976,,
loop_check_op1_n256,1,8,256,20,0.1638671875,0.17943359375,0.008403918996051038,0.32,75.0985,74.874,0.6454999999999913,8192,49.99170441001192
copy_control_op1_c48_gap0,1,48,64,20,0.173125,0.180484375,0.005467321241933749,1.7,47.194,47.499,-0.740000000000002,7680,44.36101083032491
copy_shape_op4_b1,4,48,64,20,0.16796875,0.168125,0.00018421603316486475,1.68,45.284,45.759,-0.08500000000000085,512,3.0481860465116277
loop_check_op0_n1,0,8,1,20,0.06,0.06,0.00916515138991168,0.32,33.539500000000004,33.474000000000004,0.9049999999999976,,
copy_control_op4_c1_gap0,4,1,64,20,0.155625,0.161953125,0.003956427721126722,0.0,42.214,41.944,0.9804999999999993,7680,49.34939759036144
copy_shape_op1_b4,1,48,64,20,0.14890625000000002,0.150625,0.0006590342721551008,1.6600000000000001,44.108999999999995,46.0245,-0.7199999999999989,2048,13.75362014690451
copy_shape_op4_b4,4,48,64,20,0.1690625,0.17125,0.0019336529347002808,1.6600000000000001,45.674,46.1045,-0.4349999999999987,2048,12.113863216266175
copy_control_op1_c1_gap0,1,1,64,20,0.14625,0.16612500000000002,0.007150908896558186,0.0,42.2195,41.064,0.23000000000000043,7680,52.51282051282052
copy_shape_op1_b64,1,48,64,20,0.34703125,0.35603125,0.004411095518334993,1.72,59.274,60.869,-1.3049999999999997,32768,94.42377307519135
gather_48_p1_r16,2,48,64,20,0.06281250000000001,0.06503125,0.0019190146397305048,1.68,39.255,39.199,-0.40449999999999875,,
copy_control_op4_c48_gap0,4,48,64,20,0.18859375,0.19115625,0.002128386547804464,1.7,48.304500000000004,49.019,-0.08000000000000185,7680,40.722452361226175
gather_48_p1_r1,2,48,64,20,0.034218750000000006,0.035953125,0.0014472326771721963,1.68,36.343999999999994,37.049499999999995,-0.6849999999999987,,
copy_control_op1_c48_gap32,1,48,64,20,0.44015625,0.445015625,0.003338452286895082,1.74,63.994,64.25399999999999,-0.6249999999999964,7680,17.44834930777423
loop_check_op2_n256,2,8,256,20,0.029375000000000002,0.029375000000000002,3.469446951953614e-18,0.34,40.639,39.679,1.1660000000000004,,
loop_check_op1_n8,1,8,8,20,0.18,0.185375,0.013390178303517844,0.32,34.9195,34.028999999999996,0.6649999999999991,8192,45.51111111111111
loop_check_op2_n1,2,8,1,20,0.14,0.16,0.009949874371066194,0.34,32.7245,32.8395,0.08000000000000007,,
