case,op,cores,loops,samples,max_core_per_call_p50_us,max_core_per_call_p95_us,std_us,entry_spread_raw_unverified_p50_us,host_trace_p50_us,host_plain_p50_us,paired_host_delta_p50_us,payload_bytes_per_core,payload_over_slowest_core_GBps
empty_c8,0,8,64,10,0.010625,0.01315625,0.001109705056535294,0.37,35.8395,35.8845,-0.7504999999999971,,
copy_gm_ub_p32_g480_c48,1,48,64,10,0.16296875,0.164265625,0.003373842394066446,1.96,45.689499999999995,46.8545,0.03049999999999642,512,3.141706615532119
copy_ub_gm_p32_g480_c8,4,8,64,10,0.17093750000000002,0.18007812499999998,0.00512576213845317,0.36,46.7445,43.5895,3.2310000000000016,512,2.9952468007312607
gather_fixed3_r16,2,8,64,10,0.051562500000000004,0.05534375,0.0020750094126292533,0.36,33.3695,32.6545,0.519499999999999,,
gather_fixed2_r4,2,8,64,10,0.0340625,0.03749999999999999,0.0018749999999999995,0.36,32.304,31.994500000000002,-0.08000000000000007,,
gather_custom_none_e63,2,8,64,10,0.0575,0.0575,9.375000000000008e-05,0.36,33.5845,33.28,0.02499999999999858,,
copy_gm_ub_p32_g0_c1,1,1,64,10,0.105625,0.11690625,0.006816870730951261,0.0,35.839,36.08,-0.1844999999999999,512,4.847337278106509
gather_custom_even_e64,2,8,64,10,0.0575,0.0575,9.375000000000008e-05,0.36,33.6445,33.18000000000001,0.639999999999997,,
copy_ub_gm_p32_g480_c48,4,48,64,10,0.17890625,0.180171875,0.0009084026158592908,1.96,48.513999999999996,49.394000000000005,1.3994999999999997,512,2.8618340611353714
gather_custom_all_e1,2,8,64,10,0.0584375,0.062359374999999995,0.0020541973036930974,0.36,37.6995,36.9795,0.8405000000000022,,
copy_gm_ub_p32_g0_c8,1,8,64,10,0.13515625,0.14250000000000002,0.0042596398028471915,0.36,43.108999999999995,41.819,0.9555000000000007,512,3.788208092485549
copy_ub_gm_p480_g32_c1,4,1,64,10,0.2521875,0.266125,0.00824958569035439,0.0,47.909,48.1545,0.8644999999999996,7680,30.45353159851301
copy_ub_gm_p32_g0_c48,4,48,64,10,0.1653125,0.165484375,0.0004001952648395523,1.8900000000000001,46.2045,46.864000000000004,0.26450000000000173,512,3.0971644612476372
gather_custom_random_e64,2,8,64,10,0.0609375,0.0609375,0.00015309310892394875,0.36,37.013999999999996,37.528999999999996,-0.6305000000000014,,
gather_fixed2_r16,2,8,64,10,0.053125,0.053125,0.0,0.36,35.31,35.8745,-0.1700000000000017,,
copy_gm_ub_p512_g0_c48,1,48,64,10,0.18046875,0.187546875,0.0033408281626716467,1.97,52.604,53.414500000000004,-2.3155,8192,45.39290043290043
copy_gm_ub_p32_g480_c1,1,1,64,10,0.13671875,0.14846875,0.006396410126000369,0.0,43.248999999999995,41.3945,2.049999999999997,512,3.7449142857142856
gather_custom_all_e63,2,8,64,10,0.06125,0.0615625,0.0001250000000000001,0.36,36.719,36.815,-0.1750000000000007,,
copy_gm_ub_p1024_g0_c48,1,48,64,10,0.2459375,0.251484375,0.003943447888586838,1.96,52.564499999999995,54.344,-0.6700000000000017,16384,66.61855146124523
copy_gm_ub_p512_g0_c8,1,8,64,10,0.1746875,0.180578125,0.006019175088830698,0.36,43.263999999999996,42.263999999999996,0.4505000000000017,8192,46.895169946332736
