case,direction,payload_bytes,samples,p50_us,p95_us,payload_GBps,raw_total_ticks
GM_UB_DataCopy_params_32_b1,GM_UB,32,20,0.127265625,0.146203125,0.2514426028238183,"[786,843,714,790,755,864,791,845,729,793,764,926,840,900,772,843,808,949,935,821]"
GM_UB_DataCopy_params_64_b1,GM_UB,64,20,0.132265625,0.14725,0.48387477849970467,"[865,797,845,730,801,757,917,840,901,772,851,814,950,942,814,882,848,917,850,792]"
GM_UB_DataCopy_params_128_b1,GM_UB,128,20,0.131640625,0.1443125,0.9723442136498516,"[853,794,803,918,842,849,902,780,809,814,935,816,821,848,854,923,857,794,843,784]"
GM_UB_DataCopy_params_256_b1,GM_UB,256,20,0.13078125000000002,0.147140625,1.9574671445639185,"[721,797,754,878,804,853,728,800,772,925,854,908,779,856,813,955,941,821,888,861]"
GM_UB_DataCopy_params_512_b1,GM_UB,512,20,0.13039062499999998,0.14933593750000002,3.9266626722588382,"[805,861,736,809,774,884,810,865,749,813,785,947,860,921,791,864,828,970,955,841]"
GM_UB_DataCopy_params_1024_b1,GM_UB,1024,20,0.13437500000000002,0.1550234375,7.620465116279068,"[852,876,780,811,775,930,856,880,795,813,783,991,906,936,838,864,826,1014,969,887]"
GM_UB_DataCopy_params_4096_b1,GM_UB,4096,20,0.151875,0.16235156250000002,26.969547325102877,"[918,935,943,917,981,1015,968,973,959,1020,989,1040,969,993,993,971,1039,993,925,930]"
GM_UB_DataCopy_params_8192_b1,GM_UB,8192,20,0.16125,0.16711718750000001,50.80310077519379,"[999,1027,1040,1046,1037,1050,1058,1022,1046,1059,1064,1024,1004,1048,1175,1001,1017,1006,1000,1002]"
GM_UB_DataCopy_params_14336_b1,GM_UB,14336,20,0.19109375,0.1966328125,75.02076860179886,"[1257,1195,1201,1286,1168,1177,1184,1179,1167,1174,1210,1245,1246,1243,1252,1241,1169,1253,1249,1236]"
GM_UB_DataCopy_params_32768_b1,GM_UB,32768,20,0.2821875,0.2903828125,116.12137320044297,"[1843,1785,1787,1762,1761,1775,1762,1780,1806,1811,1802,1849,1858,1807,1806,1821,1774,1846,1867,1822]"
UB_GM_DataCopy_params_32_b1,UB_GM,32,20,0.151171875,0.17381249999999998,0.2116795865633075,"[924,886,872,1088,1051,1005,981,940,940,1120,1049,1025,975,975,1112,960,923,881,860,823]"
UB_GM_DataCopy_params_64_b1,UB_GM,64,20,0.151015625,0.1691953125,0.42379720641489915,"[1018,982,967,1118,966,923,882,859,823,808,1025,990,942,926,878,872,1081,1045,1004,987]"
UB_GM_DataCopy_params_128_b1,UB_GM,128,20,0.1490625,0.17475,0.8587002096436059,"[980,947,934,1126,1049,1018,975,967,1118,961,930,888,858,822,807,1019,983,942,919,886]"
UB_GM_DataCopy_params_256_b1,UB_GM,256,20,0.14718750000000003,0.17411718750000002,1.7392781316348191,"[986,1114,1121,926,884,891,869,827,1023,1029,946,923,930,876,884,1091,1057,1015,991,938]"
UB_GM_DataCopy_params_512_b1,UB_GM,512,20,0.155,0.1713046875,3.3032258064516133,"[945,870,878,821,1033,1040,1005,964,894,900,1094,1058,1066,995,1003,962,955,1141,1063,989]"
UB_GM_DataCopy_params_1024_b1,UB_GM,1024,20,0.155703125,0.1758515625,6.576618163572504,"[933,912,930,1102,1066,1019,994,966,999,1134,1063,1040,1003,1030,1125,974,940,895,870,849]"
UB_GM_DataCopy_params_4096_b1,UB_GM,4096,20,0.173984375,0.18415625,23.54234396048496,"[1190,1160,1112,1110,1152,1178,1151,1115,1081,1067,1111,1146,1129,1099,1056,1055,1082,1117,1168,1096]"
UB_GM_DataCopy_params_8192_b1,UB_GM,8192,20,0.184296875,0.1924765625,44.45002119542179,"[1161,1175,1168,1175,1184,1218,1139,1139,1187,1228,1217,1248,1204,1169,1160,1197,1231,1199,1170,1154]"
UB_GM_DataCopy_params_14336_b1,UB_GM,14336,20,0.20625,0.2115703125,69.50787878787878,"[1254,1298,1321,1322,1324,1317,1319,1319,1344,1336,1353,1346,1327,1339,1275,1280,1277,1262,1274,1374]"
UB_GM_DataCopy_params_32768_b1,UB_GM,32768,20,0.294453125,0.306578125,111.28426638365616,"[1918,1817,1833,1912,1932,1948,1895,1870,1854,1871,1961,1894,1912,1831,1845,1871,1924,1983,1875,1853]"
